Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
TbMgO3,Tb,Mg,4,2,0.88,0.72,orthorhombic,3,5.371,5.728,7.477,90,90,90,0,-2.788,0.18,0.2,11.503,-1.354
TbMnO3,Tb,Mn,3,3,1.1,0.65,orthorhombic,3,5.301,5.731,7.508,90,90,90,0.258,-2.822,0.002,0.8,11.406,3.52
TbMoO3,Tb,Mo,1,5,1.1,0.61,cubic,0,3.954,3.954,3.954,90,90,90,0,-2.173,0.583,0.004,12.366,1.824
TbNbO3,Tb,Nb,1,5,1.1,0.64,cubic,0,4.025,4.025,4.025,90,90,90,0,-2.497,0.576,0.001,13.042,3.209
TbNiO3,Tb,Ni,3,3,1.1,0.6,orthorhombic,3,5.191,5.512,7.43,90,90,90,0,-2.269,0.008,0.199,10.631,1.113
TbPbO3,Tb,Pb,2,4,1.1,0.78,cubic,0,4.257,4.257,4.257,90,90,90,0,-1.39,1.007,0,15.428,0.578
TbPdO3,Tb,Pd,2,4,1.1,0.62,orthorhombic,3,5.4,5.895,7.543,90,90,90,0,-2.07,-0.03,0.005,12.007,-0.016
TbPrO3,Tb,Pr,2,4,1.1,0.85,cubic,0,4.491,4.491,4.491,90,90,90,0.479,-2.304,1.264,0,18.119,-1.416
TbReO3,Tb,Re,1,5,1.1,0.58,cubic,0,3.946,3.946,3.946,90,90,90,0,-1.8,0.749,0.163,12.293,0.373
TbRhO3,Tb,Rh,2,4,1.1,0.6,cubic,0,3.916,3.916,3.916,90,90,90,0,-1.747,0.537,0,12.011,-0.048
TbRuO3,Tb,Ru,1,5,1.1,0.57,cubic,0,3.915,3.915,3.915,90,90,90,0,-1.802,0.56,0.125,11.999,0.762
TbSbO3,Tb,Sb,3,3,1.1,0.76,cubic,0,4.208,4.208,4.208,90,90,90,0,-1.633,0.937,-0.001,14.898,1.071
TbScO3,Tb,Sc,3,3,1.1,0.75,orthorhombic,3,5.439,5.728,7.896,90,90,90,4.705,-3.665,0.019,0,12.3,5.096
TbSiO3,Tb,Si,3,3,1.1,0.4,cubic,0,3.69,3.69,3.69,90,90,90,0,-2.524,0.64,0,10.048,4.622
TbSmO3,Tb,Sm,4,2,0.88,1.22,cubic,0,4.383,4.383,4.383,90,90,90,1.073,-2.535,1.096,0,16.841,-0.748
TbSnO3,Tb,Sn,2,4,1.1,0.69,cubic,0,4.103,4.103,4.103,90,90,90,0,-1.904,0.811,0,13.819,2.278
TbSrO3,Tb,Sr,4,2,0.88,1.18,orthorhombic,3,5.845,5.857,9.725,90,90,90,0,-2.747,0.27,0.106,16.647,-3.53
TbTaO3,Tb,Ta,1,5,1.1,0.64,cubic,0,4.003,4.003,4.003,90,90,90,0,-2.574,0.617,0.001,12.83,3.252
TbTeO3,Tb,Te,2,4,1.1,0.97,cubic,0,4.234,4.234,4.234,90,90,90,0,-1.32,1.096,0.002,15.185,0.9
TbThO3,Tb,Th,2,4,1.1,0.94,cubic,0,4.551,4.551,4.551,90,90,90,0,-2.666,1.021,0.009,18.854,2.238
TbTiO3,Tb,Ti,2,4,1.1,0.61,orthorhombic,3,5.318,5.678,7.652,90,90,90,0,-3.326,0.015,0.2,11.554,4.797
TbTmO3,Tb,Tm,4,2,0.88,1.03,cubic,0,4.192,4.192,4.192,90,90,90,1.89,-2.963,0.783,0,14.73,2.365
TbUO3,Tb,U,2,4,1.1,0.89,cubic,0,4.379,4.379,4.379,90,90,90,0,-2.464,1.035,0.556,16.794,1.95
TbVO3,Tb,V,2,4,1.1,0.58,orthorhombic,3,5.318,5.67,7.638,90,90,90,1.093,-3.132,-0.037,0.4,11.514,4.039
TbWO3,Tb,W,1,5,1.1,0.62,cubic,0,3.961,3.961,3.961,90,90,90,0,-2.094,0.666,0,12.425,1.37
TbZnO3,Tb,Zn,4,2,0.88,0.74,orthorhombic,3,5.256,5.773,7.504,90,90,90,0,-2.311,0.129,0,11.383,-0.127
TbZrO3,Tb,Zr,2,4,1.1,0.72,cubic,0,4.122,4.122,4.122,90,90,90,0,-2.857,0.567,0,14.011,4.219
TeBiO3,Te,Bi,1,5,0.97,0.76,cubic,0,4.308,4.308,4.308,90,90,90,0,-0.437,0.931,-,15.991,-1.84
TeCeO3,Te,Ce,2,4,0.97,0.87,cubic,0,4.567,4.567,4.567,90,90,90,0,-1.107,1.313,0,19.056,-7.427
TeCoO3,Te,Co,2,4,0.97,0.53,cubic,0,3.746,3.746,3.746,90,90,90,0,-0.626,0.652,-0.009,10.514,1.913
TeCrO3,Te,Cr,2,4,0.97,0.55,cubic,0,3.872,3.872,3.872,90,90,90,0,-1.264,0.561,0.58,11.61,2.348
TeFeO3,Te,Fe,2,4,0.97,0.59,cubic,0,3.888,3.888,3.888,90,90,90,0,-0.808,0.615,0.951,11.754,-0.992
TeGeO3,Te,Ge,2,4,0.97,0.53,cubic,0,3.872,3.872,3.872,90,90,90,0,-0.851,0.676,-,11.607,1.866
TeHfO3,Te,Hf,2,4,0.97,0.71,cubic,0,4.122,4.122,4.122,90,90,90,0,-2.079,0.614,0,14.002,2.379
TeIrO3,Te,Ir,2,4,0.97,0.63,cubic,0,3.976,3.976,3.976,90,90,90,0,-0.313,0.786,-0.001,12.569,0.617
TeMnO3,Te,Mn,2,4,0.97,0.53,cubic,0,3.878,3.878,3.878,90,90,90,0,-1.028,0.657,0.74,11.661,2.225
TeMoO3,Te,Mo,2,4,0.97,0.65,cubic,0,4,4,4,90,90,90,0,-1.078,0.652,0.013,12.801,2.382
TeNbO3,Te,Nb,1,5,0.97,0.64,cubic,0,4.077,4.077,4.077,90,90,90,0,-1.527,0.654,-0.001,13.55,2.841
TeNiO3,Te,Ni,2,4,0.97,0.48,cubic,0,3.773,3.773,3.773,90,90,90,0,-0.568,0.75,0.3,10.741,-1.076
TePbO3,Te,Pb,2,4,0.97,0.78,orthorhombic,3,6.24,6.604,8.069,90,90,90,1.71,-1.353,0.022,-,16.626,0.913
TePdO3,Te,Pd,2,4,0.97,0.62,cubic,0,3.994,3.994,3.994,90,90,90,0,-0.217,0.823,-,12.741,-0.898
TePrO3,Te,Pr,2,4,0.97,0.85,cubic,0,4.527,4.527,4.527,90,90,90,0,-1.165,1.277,0,18.551,-7.146
TeRhO3,Te,Rh,2,4,0.97,0.6,cubic,0,3.953,3.953,3.953,90,90,90,0,-0.408,0.683,0,12.356,0.665
TeRuO3,Te,Ru,1,5,0.97,0.57,cubic,0,3.947,3.947,3.947,90,90,90,0,-0.524,0.662,0.039,12.299,1.096
TeSbO3,Te,Sb,1,5,0.97,0.6,cubic,0,4.128,4.128,4.128,90,90,90,0,-0.691,0.69,-,14.064,-0.481
TeSiO3,Te,Si,2,4,0.97,0.4,cubic,0,3.722,3.722,3.722,90,90,90,0,-1.27,0.964,-,10.312,1.411
TeSnO3,Te,Sn,2,4,0.97,0.69,cubic,0,4.093,4.093,4.093,90,90,90,0,-0.903,0.659,-,13.718,1.638
TeTaO3,Te,Ta,1,5,0.97,0.64,cubic,0,4.057,4.057,4.057,90,90,90,0,-1.705,0.686,0,13.359,3.271
TeTbO3,Te,Tb,2,4,0.97,0.76,cubic,0,4.352,4.352,4.352,90,90,90,0,-1.332,1.084,0.001,16.483,-5.397
TeTiO3,Te,Ti,2,4,0.97,0.61,cubic,0,3.937,3.937,3.937,90,90,90,0,-1.754,0.581,-0.003,12.204,2.349
TeUO3,Te,U,1,5,0.97,0.76,cubic,0,4.368,4.368,4.368,90,90,90,0,-2.051,0.63,-0.117,16.672,2.696
TeVO3,Te,V,2,4,0.97,0.58,cubic,0,3.897,3.897,3.897,90,90,90,0,-1.322,0.579,-0.356,11.833,1.88
TeWO3,Te,W,2,4,0.97,0.66,cubic,0,4.005,4.005,4.005,90,90,90,0,-1.135,0.822,0,12.849,2.769
TeZrO3,Te,Zr,2,4,0.97,0.72,cubic,0,4.173,4.173,4.173,90,90,90,0,-1.913,0.66,0,14.536,1.661
ThAsO3,Th,As,4,2,1.21,0.58,cubic,0,4.075,4.075,4.075,90,90,90,0,-1.892,1.132,0,13.529,1.662
ThBO3,Th,B,4,2,1.21,0.27,cubic,0,3.674,3.674,3.674,90,90,90,0,-2.27,1.18,0,9.917,4.341
ThBaO3,Th,Ba,4,2,1.21,1.35,orthorhombic,3,6.799,6.829,8.21,90,90,90,2.709,-3.345,0.275,0,19.059,-2.473
ThBeO3,Th,Be,4,2,1.21,0.45,orthorhombic,3,5.182,5.221,7.325,90,90,90,3.063,-3.359,0.369,0,9.908,5.796
ThCaO3,Th,Ca,4,2,1.21,1,cubic,0,4.151,4.151,4.151,90,90,90,0.815,-2.698,1.122,0,14.304,-
ThCdO3,Th,Cd,4,2,1.21,0.95,cubic,0,4.163,4.163,4.163,90,90,90,0,-1.89,1.147,0,14.427,0.436
ThCeO3,Th,Ce,4,2,1.21,1.01,cubic,0,4.54,4.54,4.54,90,90,90,0,-2.346,1.37,0.005,18.717,0.544
ThCoO3,Th,Co,4,2,1.21,0.75,orthorhombic,3,5.409,5.933,7.727,90,90,90,1.864,-2.947,0.093,0.6,12.397,3.147
ThCrO3,Th,Cr,4,2,1.21,0.8,orthorhombic,3,5.486,6.329,7.588,90,90,90,2.02,-3.282,0.088,0.8,13.172,4.11
ThCuO3,Th,Cu,4,2,1.21,0.73,orthorhombic,3,5.328,6.293,7.458,90,90,90,0,-2.745,0.12,0,12.504,2.296
ThDyO3,Th,Dy,4,2,1.21,1.07,cubic,0,4.282,4.282,4.282,90,90,90,0,-2.934,0.897,0,15.705,3.257
ThFeO3,Th,Fe,4,2,1.21,0.78,cubic,0,3.896,3.896,3.896,90,90,90,0,-2.539,0.611,0.85,11.828,3.482
ThGeO3,Th,Ge,4,2,1.21,0.73,cubic,0,4.011,4.011,4.011,90,90,90,0,-2.114,1.026,0,12.904,1.598
ThHfO3,Th,Hf,4,2,1.21,0.71,cubic,0,4.107,4.107,4.107,90,90,90,0,-3.036,0.658,0.002,13.852,3.617
ThHgO3,Th,Hg,4,2,1.21,1.02,cubic,0,4.248,4.248,4.248,90,90,90,0,-1.331,1.393,0,15.33,-1.766
ThHoO3,Th,Ho,4,2,1.21,0.9,cubic,0,4.26,4.26,4.26,90,90,90,0,-2.983,0.86,0,15.464,3.446
ThInO3,Th,In,4,2,1.21,0.8,cubic,0,4.32,4.32,4.32,90,90,90,0,-2.09,1.067,0,16.127,-
ThMgO3,Th,Mg,4,2,1.21,0.72,orthorhombic,3,5.46,5.794,7.806,90,90,90,5.339,-3.599,0.122,0,12.347,5.269
ThMnO3,Th,Mn,4,2,1.21,0.83,cubic,0,3.95,3.95,3.95,90,90,90,0,-2.74,0.617,0.91,12.324,3.746
ThMoO3,Th,Mo,4,2,1.21,0.65,cubic,0,4.002,4.002,4.002,90,90,90,0,-2.309,0.88,0.01,12.816,1.416
ThNbO3,Th,Nb,4,2,1.21,0.72,cubic,0,4.066,4.066,4.066,90,90,90,0,-2.593,0.811,0,13.44,2.293
ThNiO3,Th,Ni,4,2,1.21,0.69,orthorhombic,3,5.38,5.846,7.711,90,90,90,3.389,-2.942,0.096,0.4,12.128,4.005
ThPdO3,Th,Pd,4,2,1.21,0.86,cubic,0,4.031,4.031,4.031,90,90,90,0,-1.925,0.877,0,13.1,0.306
ThReO3,Th,Re,4,2,1.21,0.63,cubic,0,3.993,3.993,3.993,90,90,90,0,-1.953,1.102,0.019,12.73,0.644
ThRuO3,Th,Ru,4,2,1.21,0.68,cubic,0,3.966,3.966,3.966,90,90,90,0,-2.076,0.846,0,12.477,0.279
ThSiO3,Th,Si,4,2,1.21,0.4,cubic,0,3.881,3.881,3.881,90,90,90,0,-2.362,1.119,0,11.695,1.378
ThSmO3,Th,Sm,4,2,1.21,1.22,cubic,0,4.399,4.399,4.399,90,90,90,0,-2.675,1.101,0,17.026,2.33
ThSnO3,Th,Sn,4,2,1.21,0.69,cubic,0,4.193,4.193,4.193,90,90,90,0,-1.912,1.245,0.002,14.743,-0.453
ThSrO3,Th,Sr,4,2,1.21,1.18,cubic,0,4.407,4.407,4.407,90,90,90,0,-2.039,1.681,0,17.122,-4.355
ThTaO3,Th,Ta,4,2,1.21,0.72,cubic,0,4.046,4.046,4.046,90,90,90,0,-2.63,0.795,0,13.249,2.376
ThTbO3,Th,Tb,4,2,1.21,0.92,cubic,0,4.307,4.307,4.307,90,90,90,0,-2.751,0.936,0,15.979,3.063
ThTeO3,Th,Te,4,2,1.21,0.97,cubic,0,4.288,4.288,4.288,90,90,90,0,-1.365,1.578,0.005,15.774,-0.902
ThTiO3,Th,Ti,4,2,1.21,0.86,orthorhombic,3,5.502,5.982,7.669,90,90,90,0,-3.355,0.284,0.001,12.621,4.39
ThTmO3,Th,Tm,4,2,1.21,1.03,cubic,0,4.218,4.218,4.218,90,90,90,0,-3.086,0.786,0,15.013,3.804
ThUO3,Th,U,4,2,1.21,1.03,cubic,0,4.846,4.846,4.846,90,90,90,0,-2.146,1.542,0.769,22.757,-2.369
ThVO3,Th,V,4,2,1.21,0.79,orthorhombic,3,5.476,6.015,7.869,90,90,90,2.332,-3.392,0.055,0.6,12.961,3.91
ThWO3,Th,W,4,2,1.21,0.66,cubic,0,4.007,4.007,4.007,90,90,90,0,-2.188,1.007,0.001,12.87,1.059
ThZnO3,Th,Zn,4,2,1.21,0.74,cubic,0,3.915,3.915,3.915,90,90,90,0,-2.594,0.608,0,12.005,3.275
TiAlO3,Ti,Al,3,3,0.67,0.54,cubic,0,3.589,3.589,3.589,90,90,90,0,-2.499,0.694,0.2,9.244,2.463
TiAsO3,Ti,As,3,3,0.67,0.58,cubic,0,3.847,3.847,3.847,90,90,90,0,-1.12,1.308,0.385,11.39,0.483
TiBO3,Ti,B,3,3,0.67,0.27,cubic,0,3.308,3.308,3.308,90,90,90,0,-1.779,1.094,0.189,7.239,3.148
TiBeO3,Ti,Be,4,2,0.74,0.45,cubic,0,3.351,3.351,3.351,90,90,90,0,-2.121,1.011,0,7.526,-0.819
TiCeO3,Ti,Ce,2,4,0.86,0.87,rhombohedral,2,6.121,6.121,6.121,58.6,58.6,58.6,0.625,-3.075,0.288,0.2,15.697,-7.58
TiCoO3,Ti,Co,2,4,0.86,0.53,cubic,0,3.597,3.597,3.597,90,90,90,0,-1.343,1.145,-0.141,9.305,0.232
TiCrO3,Ti,Cr,2,4,0.86,0.55,orthorhombic,3,4.894,5.313,7.392,90,90,90,0,-2.647,0.158,0.8,9.609,0.834
TiCuO3,Ti,Cu,3,3,0.67,0.54,cubic,0,3.636,3.636,3.636,90,90,90,0,-1.045,1.223,-0.149,9.617,-1.227
TiFeO3,Ti,Fe,2,4,0.86,0.59,cubic,0,3.739,3.739,3.739,90,90,90,0,-1.429,1.171,1.199,10.453,-0.463
TiGaO3,Ti,Ga,3,3,0.67,0.62,cubic,0,3.735,3.735,3.735,90,90,90,0,-1.653,0.993,0.2,10.422,0.279
TiGeO3,Ti,Ge,2,4,0.86,0.53,cubic,0,3.72,3.72,3.72,90,90,90,0,-1.551,0.961,0.382,10.293,2.162
TiHfO3,Ti,Hf,2,4,0.86,0.71,cubic,0,4.041,4.041,4.041,90,90,90,0,-2.561,0.839,0.4,13.202,1.519
TiIrO3,Ti,Ir,2,4,0.86,0.63,cubic,0,4.504,4.504,4.504,90,90,90,0,0.075,2.34,0.029,18.273,-9.867
TiMnO3,Ti,Mn,2,4,0.86,0.53,cubic,0,3.733,3.733,3.733,90,90,90,0,-1.615,1.222,0.725,10.401,-0.705
TiMoO3,Ti,Mo,2,4,0.86,0.65,cubic,0,3.902,3.902,3.902,90,90,90,0,-1.638,0.954,0.433,11.878,-
TiNbO3,Ti,Nb,2,4,0.86,0.68,cubic,0,3.985,3.985,3.985,90,90,90,0,-2.023,0.833,0.447,12.656,3.134
TiNiO3,Ti,Ni,2,4,0.86,0.48,cubic,0,3.608,3.608,3.608,90,90,90,0,-1.212,1.256,0.4,9.392,-1.581
TiPbO3,Ti,Pb,2,4,0.86,0.78,orthorhombic,3,5.589,5.774,9.576,90,90,90,1.808,-2.367,0.15,0,15.451,0.001
TiPdO3,Ti,Pd,2,4,0.86,0.62,cubic,0,3.897,3.897,3.897,90,90,90,0,-0.68,1.526,0.223,11.839,-1.399
TiPrO3,Ti,Pr,2,4,0.86,0.85,orthorhombic,3,5.738,5.841,8.326,90,90,90,0,-3.098,0.284,0.2,13.954,-7.286
TiReO3,Ti,Re,2,4,0.86,0.63,cubic,0,3.885,3.885,3.885,90,90,90,0,-1.272,1.186,0.429,11.73,0.567
TiRhO3,Ti,Rh,2,4,0.86,0.6,cubic,0,3.851,3.851,3.851,90,90,90,0,-0.857,1.4,0.005,11.42,-1.546
TiRuO3,Ti,Ru,2,4,0.86,0.62,cubic,0,3.839,3.839,3.839,90,90,90,0,-0.998,1.327,-0.007,11.315,-0.586
TiSbO3,Ti,Sb,2,4,0.86,0.68,cubic,0,4.069,4.069,4.069,90,90,90,0,-1.128,1.344,0.457,13.476,1.031
TiSiO3,Ti,Si,2,4,0.86,0.4,cubic,0,3.523,3.523,3.523,90,90,90,0,-2.231,0.733,0.399,8.748,4.402
TiSnO3,Ti,Sn,2,4,0.86,0.69,orthorhombic,3,5.463,5.791,9.182,90,90,90,1.051,-2.316,0.25,0,14.526,1.902
TiTaO3,Ti,Ta,2,4,0.86,0.68,cubic,0,3.962,3.962,3.962,90,90,90,0,-2.185,0.69,0.472,12.44,3.64
TiTbO3,Ti,Tb,2,4,0.86,0.76,orthorhombic,3,5.624,5.633,8.04,90,90,90,0,-3.087,0.255,0.2,12.735,-5.488
TiTeO3,Ti,Te,2,4,0.86,0.97,cubic,0,4.159,4.159,4.159,90,90,90,0,-0.837,1.498,0.434,14.383,0.842
TiThO3,Ti,Th,2,4,0.86,0.94,cubic,0,4.532,4.532,4.532,90,90,90,0,-2.171,1.469,0.4,18.617,2.591
TiUO3,Ti,U,2,4,0.86,0.89,orthorhombic,3,5.691,5.953,8.016,90,90,90,0,-3.001,0.388,0.8,13.578,3.769
TiVO3,Ti,V,2,4,0.86,0.58,cubic,0,3.757,3.757,3.757,90,90,90,0,-2.002,0.911,0.604,10.609,2.541
TiWO3,Ti,W,2,4,0.86,0.66,cubic,0,3.91,3.91,3.91,90,90,90,0,-1.66,0.939,0.465,11.953,2.079
TiZrO3,Ti,Zr,2,4,0.86,0.72,cubic,0,4.101,4.101,4.101,90,90,90,0,-2.362,0.915,0.4,13.792,0.297
TlAlO3,Tl,Al,3,3,0.98,0.54,orthorhombic,3,5.208,5.326,7.533,90,90,90,1.01,-2.028,0.073,-,10.447,-0.122
TlAsO3,Tl,As,3,3,0.98,0.58,tetragonal,1,3.706,3.706,4.784,90,90,90,0,-1.073,0.24,-,13.142,1.078
TlBiO3,Tl,Bi,1,5,1.7,0.76,orthorhombic,3,5.963,6.036,8.663,90,90,90,0,-1.098,0.108,-,15.591,0.492
TlCoO3,Tl,Co,3,3,0.98,0.61,orthorhombic,3,5.294,5.455,7.585,90,90,90,0,-0.991,0.105,0.4,10.952,-0.542
TlCrO3,Tl,Cr,3,3,0.98,0.62,orthorhombic,3,5.342,5.501,7.693,90,90,90,0.543,-1.672,0.038,0.6,11.302,0.334
TlCuO3,Tl,Cu,3,3,0.98,0.54,orthorhombic,3,5.287,5.471,7.571,90,90,90,0,-0.711,0.08,-,10.95,-1.479
TlFeO3,Tl,Fe,3,3,0.98,0.65,orthorhombic,3,5.347,5.515,7.76,90,90,90,0,-1.249,0.045,0.999,11.441,-0.727
TlGaO3,Tl,Ga,3,3,0.98,0.62,orthorhombic,3,5.316,5.457,7.772,90,90,90,0.558,-1.454,0.065,-,11.272,-1.757
TlGeO3,Tl,Ge,3,3,0.98,0.63,tetragonal,1,3.584,3.584,4.937,90,90,90,0,-1.304,0.175,-,12.684,1.418
TlIrO3,Tl,Ir,1,5,1.7,0.57,orthorhombic,3,5.515,5.581,7.863,90,90,90,0,-0.822,0.161,0,12.101,1.362
TlMnO3,Tl,Mn,3,3,0.98,0.65,orthorhombic,3,5.341,5.538,7.725,90,90,90,0,-1.426,0.051,0.797,11.424,-0.182
TlMoO3,Tl,Mo,1,5,1.7,0.61,cubic,0,3.999,3.999,3.999,90,90,90,0,-1.74,0.145,0,12.788,4.161
TlNbO3,Tl,Nb,1,5,1.7,0.64,tetragonal,1,4.032,4.032,4.218,90,90,90,0.448,-2.223,0.065,0,13.712,4.564
TlNiO3,Tl,Ni,3,3,0.98,0.6,orthorhombic,3,5.273,5.437,7.573,90,90,90,0,-0.862,0.103,0.199,10.857,-1.463
TlReO3,Tl,Re,1,5,1.7,0.58,cubic,0,3.973,3.973,3.973,90,90,90,0,-1.397,0.203,0,12.542,3.953
TlRhO3,Tl,Rh,3,3,0.98,0.67,orthorhombic,3,5.44,5.58,7.807,90,90,90,0,-0.914,0.054,0,11.85,0.486
TlRuO3,Tl,Ru,1,5,1.7,0.57,orthorhombic,3,5.542,5.576,7.814,90,90,90,0,-0.96,0.147,0.235,12.073,1.828
TlSbO3,Tl,Sb,3,3,0.98,0.76,cubic,0,4.077,4.077,4.077,90,90,90,0,-1.277,0.268,-,13.556,1.98
TlSiO3,Tl,Si,3,3,0.98,0.4,tetragonal,1,3.437,3.437,4.726,90,90,90,0,-1.833,0.356,-,11.169,2.079
TlTaO3,Tl,Ta,1,5,1.7,0.64,tetragonal,1,4.037,4.037,4.093,90,90,90,0.836,-2.422,0.034,0,13.343,5.427
TlTiO3,Tl,Ti,3,3,0.98,0.67,orthorhombic,3,5.513,5.57,7.815,90,90,90,0,-2.156,0.165,0,12,1.152
TlUO3,Tl,U,1,5,1.7,0.76,cubic,0,4.369,4.369,4.369,90,90,90,2.695,-2.745,-0.108,0.2,16.675,4.183
TlVO3,Tl,V,3,3,0.98,0.64,orthorhombic,3,5.406,5.513,7.807,90,90,90,0,-1.754,0.216,0.399,11.634,1.822
TlWO3,Tl,W,1,5,1.7,0.62,cubic,0,4.001,4.001,4.001,90,90,90,0,-1.845,0.111,0,12.807,4.966
TmAgO3,Tm,Ag,3,3,1.05,0.75,cubic,0,4.006,4.006,4.006,90,90,90,0,-1.351,0.728,0,12.857,-0.825
TmAlO3,Tm,Al,3,3,1.05,0.54,orthorhombic,3,5.108,5.339,7.316,90,90,90,6.198,-3.616,-0.017,0,9.976,6.232
TmAsO3,Tm,As,3,3,1.05,0.58,cubic,0,3.977,3.977,3.977,90,90,90,0,-1.825,0.864,0,12.578,1.938
TmBO3,Tm,B,3,3,1.05,0.27,cubic,0,3.422,3.422,3.422,90,90,90,3.153,-2.537,0.74,0,8.012,5.493
TmCeO3,Tm,Ce,2,4,1.09,0.87,cubic,0,4.529,4.529,4.529,90,90,90,0,-2.207,1.519,0,18.576,1.887
TmCoO3,Tm,Co,3,3,1.05,0.61,orthorhombic,3,5.113,5.544,7.404,90,90,90,1.392,-2.566,0.027,0,10.493,2.096
TmCrO3,Tm,Cr,3,3,1.05,0.62,orthorhombic,3,5.209,5.541,7.528,90,90,90,2.496,-3.229,-0.022,0.6,10.864,4.031
TmCuO3,Tm,Cu,3,3,1.05,0.54,orthorhombic,3,5.152,5.823,7.106,90,90,90,0.268,-2.306,0.004,0,10.66,0.436
TmFeO3,Tm,Fe,3,3,1.05,0.65,orthorhombic,3,5.229,5.559,7.559,90,90,90,1.235,-2.805,0.017,1,10.985,2.865
TmGaO3,Tm,Ga,3,3,1.05,0.62,orthorhombic,3,5.206,5.526,7.508,90,90,90,4.07,-2.997,0.019,0,10.799,4.273
TmGeO3,Tm,Ge,2,4,1.09,0.53,cubic,0,3.848,3.848,3.848,90,90,90,0,-2.144,0.672,0,11.398,2.604
TmHfO3,Tm,Hf,2,4,1.09,0.71,cubic,0,4.064,4.064,4.064,90,90,90,0,-3.054,0.64,0,13.424,4.327
TmIrO3,Tm,Ir,2,4,1.09,0.63,cubic,0,3.938,3.938,3.938,90,90,90,0,-1.566,0.878,0,12.215,-1.279
TmMnO3,Tm,Mn,2,4,1.09,0.53,orthorhombic,3,5.22,5.688,7.422,90,90,90,0.411,-2.981,0.043,0.8,11.019,3.296
TmMoO3,Tm,Mo,2,4,1.09,0.65,cubic,0,3.944,3.944,3.944,90,90,90,0,-2.195,0.74,0.004,12.268,1.26
TmNbO3,Tm,Nb,2,4,1.09,0.68,cubic,0,4.018,4.018,4.018,90,90,90,0,-2.518,0.729,0,12.974,2.767
TmNiO3,Tm,Ni,3,3,1.05,0.6,orthorhombic,3,5.096,5.51,7.302,90,90,90,0,-2.435,0.028,0.2,10.252,0.857
TmPbO3,Tm,Pb,2,4,1.09,0.78,orthorhombic,3,5.734,6.002,8.481,90,90,90,0,-2.362,0.221,0,14.592,0.49
TmPdO3,Tm,Pd,2,4,1.09,0.62,cubic,0,3.937,3.937,3.937,90,90,90,0,-1.642,0.583,0,12.206,-0.365
TmPrO3,Tm,Pr,2,4,1.09,0.85,cubic,0,4.483,4.483,4.483,90,90,90,0,-2.304,1.45,0,18.02,-3.262
TmReO3,Tm,Re,2,4,1.09,0.63,cubic,0,3.935,3.935,3.935,90,90,90,0,-1.823,0.936,0.155,12.19,-0.238
TmRhO3,Tm,Rh,2,4,1.09,0.6,cubic,0,3.9,3.9,3.9,90,90,90,0,-1.78,0.653,0.001,11.866,-0.484
TmRuO3,Tm,Ru,2,4,1.09,0.62,cubic,0,3.899,3.899,3.899,90,90,90,0,-1.832,0.704,0.135,11.851,0.27
TmSbO3,Tm,Sb,3,3,1.05,0.76,cubic,0,4.195,4.195,4.195,90,90,90,0,-1.647,1.109,0,14.768,0.334
TmScO3,Tm,Sc,3,3,1.05,0.75,cubic,0,3.969,3.969,3.969,90,90,90,2.748,-3.241,0.629,0,12.507,4.911
TmSiO3,Tm,Si,3,3,1.05,0.4,cubic,0,3.654,3.654,3.654,90,90,90,0,-2.594,0.791,0,9.755,4.438
TmSnO3,Tm,Sn,2,4,1.09,0.69,cubic,0,4.091,4.091,4.091,90,90,90,0,-1.928,0.945,0.001,13.69,2.161
TmTaO3,Tm,Ta,2,4,1.09,0.68,cubic,0,3.996,3.996,3.996,90,90,90,0,-2.601,0.757,0.001,12.763,2.754
TmTbO3,Tm,Tb,2,4,1.09,0.76,cubic,0,4.278,4.278,4.278,90,90,90,0.861,-2.623,1.123,0,15.658,-0.338
TmTeO3,Tm,Te,2,4,1.09,0.97,cubic,0,4.226,4.226,4.226,90,90,90,0,-1.339,1.249,0.003,15.098,0.499
TmThO3,Tm,Th,2,4,1.09,0.94,cubic,0,4.554,4.554,4.554,90,90,90,0,-2.711,1.161,0.013,18.888,1.886
TmTiO3,Tm,Ti,2,4,1.09,0.61,orthorhombic,3,5.245,5.631,7.575,90,90,90,0,-3.482,0.045,0.2,11.186,4.479
TmUO3,Tm,U,2,4,1.09,0.89,cubic,0,4.384,4.384,4.384,90,90,90,0,-2.505,1.179,0.514,16.852,1.536
TmVO3,Tm,V,2,4,1.09,0.58,orthorhombic,3,5.245,5.632,7.558,90,90,90,1.382,-3.293,-0.011,0.4,11.162,3.816
TmWO3,Tm,W,2,4,1.09,0.66,cubic,0,3.953,3.953,3.953,90,90,90,0,-2.119,0.826,0.002,12.354,0.777
TmZrO3,Tm,Zr,2,4,1.09,0.72,cubic,0,4.119,4.119,4.119,90,90,90,0,-2.882,0.728,0,13.976,3.957
UAgO3,U,Ag,3,3,1.03,0.75,orthorhombic,3,5.53,6.255,7.831,90,90,90,0,-2.184,0.33,0.368,13.544,-2.108
