Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
AsTbO3,As,Tb,2,4,0.58,0.76,cubic,0,4.307,4.307,4.307,90,90,90,0,-1.131,1.419,0.046,15.982,-5.57
AsTeO3,As,Te,2,4,0.58,0.97,cubic,0,4.129,4.129,4.129,90,90,90,0,-0.364,0.944,-,14.078,-0.54
AsThO3,As,Th,2,4,0.58,0.94,cubic,0,4.539,4.539,4.539,90,90,90,0,-1.795,1.229,0.003,18.699,-3.355
AsTiO3,As,Ti,2,4,0.58,0.61,cubic,0,3.865,3.865,3.865,90,90,90,0,-1.759,0.669,0.001,11.551,0.658
AsTlO3,As,Tl,3,3,0.58,0.89,cubic,0,4.195,4.195,4.195,90,90,90,0,0.134,1.446,-,14.762,-5.074
AsTmO3,As,Tm,3,3,0.58,0.88,cubic,0,4.213,4.213,4.213,90,90,90,0,-1.424,1.265,0.01,14.96,-4.583
AsUO3,As,U,2,4,0.58,0.89,cubic,0,4.318,4.318,4.318,90,90,90,0,-1.957,0.817,0.04,16.096,2.774
AsVO3,As,V,2,4,0.58,0.58,cubic,0,3.805,3.805,3.805,90,90,90,0,-1.241,0.797,-0.004,11.019,-0.112
AsWO3,As,W,3,3,0.58,0.66,cubic,0,3.935,3.935,3.935,90,90,90,0,-1.18,0.776,0,12.189,3.385
AsYO3,As,Y,3,3,0.58,0.9,cubic,0,4.289,4.289,4.289,90,90,90,0,-1.275,1.387,0.015,15.785,-5.326
AsYbO3,As,Yb,3,3,0.58,0.87,orthorhombic,0,5.405,5.88,8.406,90,90,90,0,-2.302,0,-,13.359,-7.438
AsZrO3,As,Zr,2,4,0.58,0.72,cubic,0,4.124,4.124,4.124,90,90,90,0,-1.825,0.837,-0.004,14.031,-0.708
BAsO3,B,As,1,5,0.27,0.46,cubic,0,3.658,3.658,3.658,90,90,90,0,-0.025,2.01,-,9.791,1.49
BBiO3,B,Bi,1,5,0.27,0.76,cubic,0,4.139,4.139,4.139,90,90,90,0,0.213,2.336,-,14.181,-0.018
BCeO3,B,Ce,2,4,0.27,0.87,cubic,0,4.537,4.537,4.537,90,90,90,0,-0.244,3.029,0.001,18.681,-4.648
BCoO3,B,Co,2,4,0.27,0.53,cubic,0,3.623,3.623,3.623,90,90,90,0,0.418,2.356,-0.538,9.511,-2.534
BCrO3,B,Cr,1,5,0.27,0.49,cubic,0,3.699,3.699,3.699,90,90,90,0,-0.315,2.274,0.201,10.118,-1.803
BFeO3,B,Fe,1,5,0.27,0.59,cubic,0,3.685,3.685,3.685,90,90,90,0,0.155,2.322,0.719,10.011,-3.619
BGeO3,B,Ge,2,4,0.27,0.53,cubic,0,3.682,3.682,3.682,90,90,90,0,-0.116,2.046,-,9.982,-0.598
BHfO3,B,Hf,2,4,0.27,0.71,cubic,0,4.079,4.079,4.079,90,90,90,0,-1.258,1.936,0.002,13.578,-0.733
BIrO3,B,Ir,1,5,0.27,0.57,cubic,0,3.842,3.842,3.842,90,90,90,0,0.308,2.098,0.183,11.344,0.614
BMnO3,B,Mn,2,4,0.27,0.53,cubic,0,3.687,3.687,3.687,90,90,90,0,-0.058,2.262,0.409,10.023,-3.248
BMoO3,B,Mo,1,5,0.27,0.61,cubic,0,3.874,3.874,3.874,90,90,90,0,-0.771,1.51,0.001,11.628,3.943
BNbO3,B,Nb,1,5,0.27,0.64,cubic,0,3.968,3.968,3.968,90,90,90,1.744,-1.19,1.383,-0.001,12.499,4.31
BNiO3,B,Ni,2,4,0.27,0.48,cubic,0,3.602,3.602,3.602,90,90,90,0,0.676,2.525,0.03,9.346,-5.604
BPbO3,B,Pb,2,4,0.27,0.78,cubic,0,4.201,4.201,4.201,90,90,90,0,0.559,2.534,-,14.833,-3.923
BPdO3,B,Pd,2,4,0.27,0.62,cubic,0,3.868,3.868,3.868,90,90,90,0,0.797,2.368,-,11.579,-3.802
BPrO3,B,Pr,2,4,0.27,0.85,cubic,0,4.45,4.45,4.45,90,90,90,0,-0.294,2.992,-0.407,17.629,-4.606
BReO3,B,Re,1,5,0.27,0.58,cubic,0,3.844,3.844,3.844,90,90,90,0,-0.466,1.614,0,11.364,3.731
BRhO3,B,Rh,2,4,0.27,0.6,cubic,0,3.834,3.834,3.834,90,90,90,0,0.416,2.194,0.223,11.27,-2.071
BRuO3,B,Ru,1,5,0.27,0.57,cubic,0,3.817,3.817,3.817,90,90,90,0,0.072,1.954,0.014,11.119,1.369
BSbO3,B,Sb,1,5,0.27,0.6,cubic,0,3.906,3.906,3.906,90,90,90,0,-0.284,1.817,-,11.918,2.348
BSiO3,B,Si,2,4,0.27,0.4,cubic,0,3.47,3.47,3.47,90,90,90,0,-0.837,1.894,-,8.357,0.59
BSnO3,B,Sn,2,4,0.27,0.69,cubic,0,4.031,4.031,4.031,90,90,90,0,-0.053,2.164,-,13.101,-1.197
BTaO3,B,Ta,1,5,0.27,0.64,cubic,0,3.945,3.945,3.945,90,90,90,2.039,-1.443,1.307,0,12.282,5.114
BTbO3,B,Tb,2,4,0.27,0.76,cubic,0,4.343,4.343,4.343,90,90,90,0,-0.313,2.836,-0.01,16.383,-5.061
BTeO3,B,Te,2,4,0.27,0.97,cubic,0,4.014,4.014,4.014,90,90,90,0,0.034,1.93,-,12.935,1.175
BThO3,B,Th,2,4,0.27,0.94,cubic,0,4.468,4.468,4.468,90,90,90,0,-1.216,2.234,-0.112,17.835,-0.903
